Line #	Quantity	Designator	Name	Description	Manufacturer Part Number 1	Manufacturer 1

"204"	"99"	"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C135_1, C135_2, C135_3, C135_4, C135_5, C135_6, C135_7, C136_1, C136_2, C136_3, C136_4, C136_5, C136_6, C136_7, C137_1, C137_2, C137_3, C137_4, C137_5, C137_6, C137_7, C138_1, C138_2, C138_3, C138_4, C138_5, C138_6, C138_7, C139_1, C139_2, C139_3, C139_4, C139_5, C139_6, C139_7, C140_1, C140_2, C140_3, C140_4, C140_5, C140_6, C140_7, C141_1, C141_2, C141_3, C141_4, C141_5, C141_6, C141_7, C143, C144, C146, C149, C150, C151, C152, C153, C154, C157, C158, C159, C160, C161, C172, C173, C174"	"C0402C104K8RACTU"	"CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"	"C0402C104K8RACTU"	"KEMET"
""	"4"	"C133, C134, C155, C156"	"C0402C180J5GACTU"	"CAP Standard 0402 (1005) 18,0pF 50V C0G (Standard)"	"C0402C180J5GACTU"	"KEMET"
"202"	"4"	"C142, C145, C147, C148"	"C0402C105K4PACTU"	"CAP Standard 0402 (1005) 1,0uF 16V X5R (Standard)"	"C0402C105K4PACTU"	"KEMET"
"201"	"3"	"C162, C163, C164"	"C1210C106K5RACTU"	"CAP Standard 1210 (3225) 10,0uF 50V X7R (Standard)"	"C1210C106K5RACTU"	"KEMET"
""	"3"	"C165, C167, C169"	"C0402C223K5RACTU"	"CAP Standard 0402 (1005) 22,0nF 50V X7R (Standard)"	"C0402C223K5RACTU"	"KEMET"
"203"	"4"	"C166, C168, C170, C171"	"C1210C476M8RACTU"	"CAP Standard 1210 (3225) 47,0uF 10V X7R (Standard)"	"C1210C476M8RACTU"	"KEMET"
"301"	"16"	"D100, D101, D102, D103, D104, D105, D106, D119, D120, D121, D122, D123, D124, D125, D131, D132"	"SML-E12P8W"	"LED Green Diffused 0603 SMD"	"SML-E12P8WT86"	"Rohm"
"302"	"41"	"D107, D108, D109, D110, D111_1, D111_2, D111_3, D111_4, D111_5, D111_6, D111_7, D112_1, D112_2, D112_3, D112_4, D112_5, D112_6, D112_7, D113_1, D113_2, D113_3, D113_4, D113_5, D113_6, D113_7, D114_1, D114_2, D114_3, D114_4, D114_5, D114_6, D114_7, D115, D116, D117, D118, D126, D127, D128, D129, D130"	"USBLC6-2P6"	"TVS DIODE 5.25VWM 17VC SOT666"	"USBLC6-2P6"	"STMicroelectronics"
"806"	"8"	"J103_1, J103_2, J103_3, J103_4, J103_5, J103_6, J103_7, J107"	"09242206824"	"Board Euro Connector"	"09242206824"	"HARTING Technology"
"802"	"1"	"J108"	"74990101241"	"Datacom Transformer"	"74990101241"	"Wurth Electronics"
"801"	"1"	"J109"	"38700-7502"	"Barrier Strip Terminal Block, 1 Row(s), 1 Deck(s)"	"38700-7502"	"Molex"
"803"	"1"	"J110"	"PJ-090BH"	"Circular DC Power Connector"	"PJ-090BH"	"CUI"
"401"	"3"	"L100, L101, L102"	"BLM18PG121SN1D"	"IND, Automotive, Chip Ferrite Bead, Power Lines, 0603, 120R, 2A"	"BLM18PG121SN1D"	"Murata"
