Altium Designer Pick and Place Locations
C:\Users\Joris\AppData\Local\TempReleases\Snapshot\1\Assembly 01\Pick Place\H-00488-01-A.10 Pick and place.csv

========================================================================================================================
File Design Information:

Date:       01-02-21
Time:       20:57
Revision:   Not in VersionControl
Variant:    01
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R201","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-3.5000","17.0000","180","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"C174","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-3.5000","16.0000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C164","C1210C106K5RACTU","TopLayer","CAPC320X250X245L50N","-25.6000","21.6000","270","CAP Standard 1210 (3225) 10,0uF 50V X7R (Standard)"
"R194","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-56.0000","31.0000","90","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R193","CRCW040220K0FKED","TopLayer","RESC100X50X40L25N","-55.0000","31.0000","270","RES Standard Thick Film 0402 20K0 ±1% 0,063W"
"U116","SN74LVC1G125DCKR","TopLayer","SOT23-5P65_210X110L36X22","-25.6000","16.5000","90","Bus Driver, LVC/LCX/Z Series, 1-Func, 1-Bit, True Output, CMOS, PDSO5"
"C158","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-2.5000","39.0000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"R139_1","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-129.9000","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_2","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-109.5800","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_3","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-89.2600","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_4","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-68.9400","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_5","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-48.6200","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_6","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-28.3000","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R139_7","WSL0805R0250FEA18","TopLayer","RESC200X125X70L40N","-7.9800","-27.0000","180","RES Power Metal Strip 0805 0R025 ±1% 0,125W"
"R187","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-17.3000","24.5000","360","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"R186","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-19.7000","24.5000","360","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R184","CRCW04022K20FKED","TopLayer","RESC100X50X40L25N","-17.3000","18.6000","360","RES Standard Thick Film 0402 2K20 ±1% 0,063W"
"R182","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-19.7000","18.6000","360","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R181","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-39.0000","24.5000","270","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R179","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-39.0000","26.5000","270","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R176","CRCW0402200KFKED","TopLayer","RESC100X50X40L25N","-39.0000","28.5000","270","RES Standard Thick Film 0402 200K ±1% 0,063W"
"Q105","BUK7D25-40EX","TopLayer","NEXPERIA_SOT1220","-39.8000","35.4625","90","BUK7D25 Series 40V Surface-Mounted N-channel Trench MOSFET - SOT1118"
"U114","LM5050Q1MK-1/NOPB","TopLayer","SOT23-6P95_280X110L45X40M","-43.2000","35.4000","360","Half Bridge Based MOSFET Driver, PDSO6"
"R185","CRCW040247R0FKED","TopLayer","RESC100X50X40L25N","-44.3000","32.5000","360","RES Standard Thick Film 0402 47R0 ±1% 0,063W"
"C169","C0402C223K5RACTU","TopLayer","CAPC100X50X55L30N","-42.1000","32.5000","360","CAP Standard 0402 (1005) 22,0nF 50V X7R (Standard)"
"C166","C1210C476M8RACTU","TopLayer","CAPC320X250X170L50N","-16.6000","21.6000","90","CAP Standard 1210 (3225) 47,0uF 10V X7R (Standard)"
"C134","C0402C180J5GACTU","TopLayer","CAPC100X50X55L30N","-119.2000","40.0000","180","CAP Standard 0402 (1005) 18,0pF 50V C0G (Standard)"
"C162","C1210C106K5RACTU","TopLayer","CAPC320X250X245L50N","-54.3000","16.5000","360","CAP Standard 1210 (3225) 10,0uF 50V X7R (Standard)"
"C163","C1210C106K5RACTU","TopLayer","CAPC320X250X245L50N","-25.6000","27.5000","270","CAP Standard 1210 (3225) 10,0uF 50V X7R (Standard)"
"U115","LMZM33606RLXR","TopLayer","TI_RLX0041A","-48.5000","24.0000","270","Switching Regulator, 6A, 2200kHz Switching Freq-Max, PQMA41"
"C168","C1210C476M8RACTU","TopLayer","CAPC320X250X170L50N","-16.6000","27.5000","90","CAP Standard 1210 (3225) 47,0uF 10V X7R (Standard)"
"C171","C1210C476M8RACTU","TopLayer","CAPC320X250X170L50N","-42.2000","16.5000","180","CAP Standard 1210 (3225) 47,0uF 10V X7R (Standard)"
"C170","C1210C476M8RACTU","TopLayer","CAPC320X250X170L50N","-48.0000","16.5000","180","CAP Standard 1210 (3225) 47,0uF 10V X7R (Standard)"
"U113","TPSM84209RKHR","TopLayer","TI_RKH0009A","-21.6875","27.5000","360","Switching Regulator, 2.5A, 923kHz Switching Freq-Max, PQCC9"
"U111","TPSM84209RKHR","TopLayer","TI_RKH0009A","-21.6875","21.6000","360","Switching Regulator, 2.5A, 923kHz Switching Freq-Max, PQCC9"
"R192","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-19.5000","17.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R175","WSLP0805R0100FEA","TopLayer","RESC200X125X70L40M","-35.2003","29.0000","180","RES Power Metal Strip 0805 0R01 ±1% 0,5W"
"R188","WSLP0805R0100FEA","TopLayer","RESC200X125X70L40M","-35.2003","16.5000","180","RES Power Metal Strip 0805 0R01 ±1% 0,5W"
"R191","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-19.5000","16.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"Q102","BUK7D25-40EX","TopLayer","NEXPERIA_SOT1220","-32.1378","29.1000","360","BUK7D25 Series 40V Surface-Mounted N-channel Trench MOSFET - SOT1118"
"Q106","BUK7D25-40EX","TopLayer","NEXPERIA_SOT1220","-32.1378","16.5000","360","BUK7D25 Series 40V Surface-Mounted N-channel Trench MOSFET - SOT1118"
"R177","CRCW040220K0FKED","TopLayer","RESC100X50X40L25N","-32.6003","26.7000","360","RES Standard Thick Film 0402 20K0 ±1% 0,063W"
"R189","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-32.6003","18.8000","360","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R180","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-30.7003","26.7000","360","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R190","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-30.7003","18.8000","360","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"C172","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-37.4539","18.6829","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"U109","LTC4222IUH#PBF","TopLayer","QFN33P50_500X500X80L40X25T345","-34.0503","22.7500","270","Power Supply Support Circuit, Adjustable, 2 Channel, CMOS, PQCC32"
"C173","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-37.3000","26.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C139_1","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-132.1536","-37.3172","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"U117","TLV7022DDFR","TopLayer","SOT23-8P65_280X110L45X30","-8.5000","35.5000","180","Micropower small size comparator (dual, open-drain output) 8-SOT-23-THIN -40 to 125"
"J109","38700-7502","TopLayer","MOLEX_387007502","-24.8100","43.9000","90","Barrier Strip Terminal Block, 1 Row(s), 1 Deck(s)"
"D120","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","27.0000","180","LED Green Diffused 0603 SMD"
"D100","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","29.0000","360","LED Green Diffused 0603 SMD"
"D121","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","25.0000","180","LED Green Diffused 0603 SMD"
"D122","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","23.0000","180","LED Green Diffused 0603 SMD"
"D123","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","21.0000","180","LED Green Diffused 0603 SMD"
"D124","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","19.0000","180","LED Green Diffused 0603 SMD"
"D125","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","17.0000","180","LED Green Diffused 0603 SMD"
"R159","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-42.8000","-4.0000","360","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R158","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-39.5000","-4.0000","360","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R153","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-27.5000","-3.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R152","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-27.5000","-2.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R149","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-27.5000","6.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R148","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-27.5000","7.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R147","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-23.5000","7.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R119","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","32.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R111","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","33.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R108","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","34.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R107","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","35.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R106","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","36.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R105","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","37.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R102","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","38.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"D119","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-64.0000","29.0000","180","LED Green Diffused 0603 SMD"
"D106","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","17.0000","360","LED Green Diffused 0603 SMD"
"D105","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","19.0000","360","LED Green Diffused 0603 SMD"
"D104","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","21.0000","360","LED Green Diffused 0603 SMD"
"D103","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","23.0000","360","LED Green Diffused 0603 SMD"
"D102","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","25.0000","360","LED Green Diffused 0603 SMD"
"D101","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-68.0000","27.0000","360","LED Green Diffused 0603 SMD"
"J110","PJ-090BH","TopLayer","CUI_PJ-090BH","-40.0500","46.7500","0","Circular DC Power Connector"
"C140_7","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-10.3800","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_6","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-30.7000","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_5","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-51.0200","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_4","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-71.3400","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_3","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-91.6600","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_2","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-111.9800","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C140_1","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-132.3000","-22.8600","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"D131","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-16.6000","4.8000","180","LED Green Diffused 0603 SMD"
"D132","SML-E12P8W","TopLayer","LEDC170X80X80L20_GREEN","-16.6000","-0.6000","180","LED Green Diffused 0603 SMD"
"R172","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-3.5000","32.0000","270","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R171","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-3.5000","39.0000","90","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R170","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-4.5000","32.0000","270","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R169","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-4.5000","39.0000","90","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"C157","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-2.5000","32.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"D127","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-3.4950","34.2900","90","TVS DIODE 5.25VWM 17VC SOT666"
"Q104","BUK7D25-40EX","TopLayer","NEXPERIA_SOT1220","-32.8000","35.4625","90","BUK7D25 Series 40V Surface-Mounted N-channel Trench MOSFET - SOT1118"
"Q103","BUK7D25-40EX","TopLayer","NEXPERIA_SOT1220","-46.8000","35.4625","90","BUK7D25 Series 40V Surface-Mounted N-channel Trench MOSFET - SOT1118"
"U112","LM5050Q1MK-1/NOPB","TopLayer","SOT23-6P95_280X110L45X40M","-36.2000","35.4000","360","Half Bridge Based MOSFET Driver, PDSO6"
"U110","LM5050Q1MK-1/NOPB","TopLayer","SOT23-6P95_280X110L45X40M","-50.2000","35.4000","360","Half Bridge Based MOSFET Driver, PDSO6"
"R183","CRCW040247R0FKED","TopLayer","RESC100X50X40L25N","-37.3000","32.5000","360","RES Standard Thick Film 0402 47R0 ±1% 0,063W"
"R178","CRCW040247R0FKED","TopLayer","RESC100X50X40L25N","-51.3000","32.5000","360","RES Standard Thick Film 0402 47R0 ±1% 0,063W"
"C167","C0402C223K5RACTU","TopLayer","CAPC100X50X55L30N","-35.1000","32.5000","360","CAP Standard 0402 (1005) 22,0nF 50V X7R (Standard)"
"C165","C0402C223K5RACTU","TopLayer","CAPC100X50X55L30N","-49.1000","32.5000","360","CAP Standard 0402 (1005) 22,0nF 50V X7R (Standard)"
"D114_2","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-105.0750","-24.1300","90","TVS DIODE 5.25VWM 17VC SOT666"
"D112_2","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-105.0750","-19.0500","90","TVS DIODE 5.25VWM 17VC SOT666"
"D113_2","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-105.0750","-21.5900","90","TVS DIODE 5.25VWM 17VC SOT666"
"D111_2","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-105.0750","-16.5100","90","TVS DIODE 5.25VWM 17VC SOT666"
"D114_1","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-125.3950","-24.1300","90","TVS DIODE 5.25VWM 17VC SOT666"
"D112_1","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-125.3950","-19.0500","90","TVS DIODE 5.25VWM 17VC SOT666"
"D113_1","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-125.3950","-21.5900","90","TVS DIODE 5.25VWM 17VC SOT666"
"D111_1","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-125.3950","-16.5100","90","TVS DIODE 5.25VWM 17VC SOT666"
"R130","CRCW04021M00FKED","TopLayer","RESC100X50X40L25N","-118.2000","38.9000","180","RES Standard Thick Film 0402 1M00 ±1% 0,063W"
"L101","BLM18PG121SN1D","TopLayer","BEADC160X80X95L30","-78.6000","19.4000","180","IND, Automotive, Chip Ferrite Bead, Power Lines, 0603, 120R, 2A"
"L100","BLM18PG121SN1D","TopLayer","BEADC160X80X95L30","-78.6000","17.8000","180","IND, Automotive, Chip Ferrite Bead, Power Lines, 0603, 120R, 2A"
"L102","BLM18PG121SN1D","TopLayer","BEADC160X80X95L30","-118.7000","19.0000","180","IND, Automotive, Chip Ferrite Bead, Power Lines, 0603, 120R, 2A"
"C130","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-118.7000","20.4000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C129","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","36.0000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C128","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-108.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C127","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-96.0000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C126","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-97.0000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C125","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-85.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
